word,reading,pos,english
輝く,かがやく,V,"to shine, to glitter, to sparkle"
係,かかり,N,person in charge
罹る,かかる,V,to suffer from
限る,かぎる,V,"to restrict, to limit, to confine"
掻く,かく,V,to scratch
嗅ぐ,かぐ,V,"to sniff, to smell"
家具,かぐ,N,furniture
学,がく,N,"learning, knowledge"
額,がく,N,amount; frame
覚悟,かくご,N,"resolution, resignation, readiness"
確実,かくじつ,N,"certainty, reliability, soundness"
学者,がくしゃ,N,scholar
学習,がくしゅう,N,"study, learning"
隠す,かくす,V,"to hide, to conceal"
拡大,かくだい,N,"magnification, enlargement"
確認,かくにん,N,"affirmation, confirmation"
学問,がくもん,N,"scholarship, study, learning"
隠れる,かくれる,V,"to hide, to be hidden"
影,かげ,N,"shade, shadow, other side"
陰,かげ,N,"shade, shadow, other side"
欠ける,かける,V,to be lacking
加減,かげん,N,adjustment; addition and subtraction
過去,かこ,N,past
籠,かご,N,"basket, cage"
囲む,かこむ,V,"to surround, to encircle"
火災,かさい,N,"conflagration, fire"
重なる,かさなる,V,"to be piled up, lie on top of one another"
重ねる,かさねる,V,"to pile up, to put something on another, to heap up"
飾り,かざり,N,decoration
貸し,かし,N,"loan, lending"
菓子,かし,N,"confectionery, sweet"
家事,かじ,N,household matters; housework (same as 家の仕事 (いえのしごと))
賢い,かしこい,N,"wise, clever, smart"
歌手,かしゅ,N,singer
稼ぐ,かせぐ,V,"to earn income, to labor"
数える,かぞえる,V,to count
型,かた,N,"mold, model, style"
肩,かた,N,shoulder
堅い,かたい,N,"hard, firm, solid"
硬い,かたい,N,"hard, firm, solid"
方々,かたがた,N,persons
片付く,かたづく,V,"to put in order, to solve"
刀,かたな,N,"sword, saber"
語る,かたる,V,"to talk, to tell, to recite"
勝ち,かち,N,"win, victory"
価値,かち,N,"value, worth, merit"
がっかり,がっかり,N,"feel disappointed, be dejected, lose heart"
活気,かっき,N,vigor; liveliness; vitality; energy
楽器,がっき,N,musical instrument
学期,がっき,N,term (school)
活動,かつどう,N,"action, activity"
活躍,かつやく,N,activity
活用,かつよう,N,conjugation; practical use
仮定,かてい,N,"assumption, supposition, hypothesis"
過程,かてい,N,process
課程,かてい,N,"course, curriculum"
悲しむ,かなしむ,V,"to be sad, to mourn for, to regret"
必ずしも,かならずしも,N,"(not) always, (not) necessarily"
かなり,かなり,N,"considerably, fairly, quite"
金,かね,N,"gold, metal; money"
鐘,かね,N,"bell, chime"
可能,かのう,N,"possible, practicable, feasible"
株,かぶ,N,stock; stump (of tree)
被る,かぶる,V,to wear; to be covered with
我慢,がまん,N,"patience, endurance, perseverance"
神,かみ,N,god
雷,かみなり,N,thunder
髪の毛,かみのけ,N,hair (head)
科目,かもく,N,"(school) subject, curriculum, course"
かもしれない,かもしれない,N,"maybe, perhaps"
かゆい,かゆい,N,"itchy, itching"
歌謡,かよう,N,"song, ballad"
殻,から,N,"shell, husk, hull"
刈る,かる,V,"to cut (hair), to mow (grass), to harvest"
河,かわ,N,"river, stream"
皮,かわ,N,"skin, hide, leather"
革,かわ,N,leather
可愛そう,かわいそう,N,"poor, pitiable, pathetic"
可愛らしい,かわいらしい,N,"lovely, sweet"
乾かす,かわかす,V,to dry
渇く,かわく,V,to be thirsty
代る,かわる,V,"to take the place of, to relieve, to be substituted for"
缶,かん,N,"can, tin"
勘,かん,N,"perception, intuition, the sixth sense"
考え,かんがえ,N,"thinking, thought, ideas"
感覚,かんかく,N,"sense, sensation"
間隔,かんかく,N,"space, interval, SPC"
観客,かんきゃく,N,"audience, spectator(s)"
環境,かんきょう,N,"environment, circumstance"
歓迎,かんげい,N,"welcome, reception"
観光,かんこう,N,sightseeing
観察,かんさつ,N,"observation, survey"
感じ,かんじ,N,"feeling, sense, impression"
感謝,かんしゃ,N,"thanks, gratitude"
患者,かんじゃ,N,patient
勘定,かんじょう,N,"calculation, counting, consideration"
感情,かんじょう,N,"emotion(s), feeling(s), sentiment"
感じる,かんじる,V,"to feel, to sense"
感心,かんしん,N,admiration
関心,かんしん,N,"concern, interest"
関する,かんする,V,"to concern, to be related"
完成,かんせい,N,"complete, completion; perfection"
完全,かんぜん,N,"perfection, completeness"
乾燥,かんそう,N,"dry, arid, dehydrated"
感想,かんそう,N,"(one's) impressions, (one's) thoughts"
感動,かんどう,N,"being deeply moved, excitement"
監督,かんとく,N,"supervision, control, (movie) director"
管理,かんり,N,"control, management (e.g., of a business)"
完了,かんりょう,N,"completion, conclusion"
関連,かんれん,N,"relation, connection, relevance"
議員,ぎいん,N,"member of the Diet, congress, or parliament"
記憶,きおく,N,"memory, recollection, remembrance"
気温,きおん,N,temperature (weather - not used for things)
機械,きかい,N,"machine, machinery"
器械,きかい,N,instrument
議会,ぎかい,N,"Diet, congress, parliament"
期間,きかん,N,"period, term"
機関,きかん,N,"engine; institution, organization"
企業,きぎょう,N,"industry, business, undertaking"
効く,きく,V,to be effective
期限,きげん,N,"deadline, term"
機嫌,きげん,N,"humor, temper, mood"
気候,きこう,N,climate
岸,きし,N,"bank, coast, shore"
生地,きじ,N,fabric; dough
記事,きじ,N,"article, news story"
技師,ぎし,N,"engineer, technician"
記者,きしゃ,N,reporter
傷,きず,N,"wound, injury, hurt"
期待,きたい,N,"expectation, anticipation, hope"
気体,きたい,N,"vapor, gas"
帰宅,きたく,N,returning home
貴重,きちょう,N,"precious, valuable"
議長,ぎちょう,N,chairman
きちんと,きちんと,N,"precisely, accurately"
きつい,きつい,N,"tight, close, intense"
気付く,きづく,V,"to notice, to recognize, to become aware of"
気に入る,きにいる,V,"to like, to be please"
記入,きにゅう,N,"entry, filling in of forms"
